CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct
17850,M,Chicago,12,16679,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16680,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16696,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Not Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16699,01-01-2019,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16700,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16701,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16702,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16703,01-01-2019,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,Not Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16704,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,256.88,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16710,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,28.78,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16713,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16719,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Not Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16720,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16720,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16721,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16722,01-01-2019,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16722,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16723,01-01-2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16723,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Not Used,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16724,01-01-2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16725,01-01-2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16727,01-01-2019,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
17850,M,Chicago,12,16731,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
13047,M,California,43,16684,01-01-2019,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,Clicked,0.1,4500,2424.5,1,ELEC10,10
13047,M,California,43,16684,01-01-2019,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,Used,0.1,4500,2424.5,1,ELEC10,10
